experiment_id,input,intended_output,observed_fluor,output_id,replicate,sample_id,strain,time
exp1,01,0,103.05687252038803,ts1,2,31,UWBF2,1
exp1,01,0,90.35624100217805,ts1,3,32,UWBF2,1
exp1,01,0,67.25069246634752,ts1,4,33,UWBF2,1
exp1,01,0,60.4368611413706,ts1,5,34,UWBF2,1
exp1,00,1,1058.8475713413368,ts1,1,35,UWBF2,2
exp1,00,1,547.2505654853735,ts1,2,36,UWBF2,2
exp1,00,1,958.9756704122836,ts1,3,37,UWBF2,2
exp1,00,1,991.0782710631842,ts1,4,38,UWBF2,2
exp1,00,1,1530.851128543905,ts1,5,39,UWBF2,2
exp1,00,1,952.4060862661458,ts1,1,40,UWBF2,3
exp1,00,1,1425.1947810461063,ts1,2,41,UWBF2,3
exp1,00,1,771.4742139037422,ts1,3,42,UWBF2,3
exp1,00,1,1235.187359965726,ts1,4,43,UWBF2,3
exp1,00,1,1020.9902485616535,ts1,5,44,UWBF2,3
exp1,00,1,1110.716120334247,ts2,1,45,UWBF2,1
exp1,00,1,794.3498795205458,ts2,2,46,UWBF2,1
exp1,00,1,1045.776366999466,ts2,3,47,UWBF2,1
exp1,00,1,833.9900735313645,ts2,4,48,UWBF2,1
exp1,00,1,975.3323295766224,ts2,5,49,UWBF2,1
exp1,01,0,89.39752160770048,ts2,1,50,UWBF2,2
exp1,01,0,109.31526853863951,ts2,2,51,UWBF2,2
exp1,01,0,137.09490741894547,ts2,3,52,UWBF2,2
exp1,01,0,108.4986043261179,ts2,4,53,UWBF2,2
exp1,01,0,90.26865246812561,ts2,5,54,UWBF2,2
exp1,01,0,88.99047777961923,ts2,1,55,UWBF2,3
exp1,01,0,76.31117465251673,ts2,2,56,UWBF2,3
exp1,01,0,106.51345136502177,ts2,3,57,UWBF2,3
exp1,01,0,114.49349356388925,ts2,4,58,UWBF2,3
exp1,01,0,95.06516685980182,ts2,5,59,UWBF2,3
exp2,01,0,97.6633496088319,ts1,1,60,UWBF1,1
exp2,01,0,97.9318070804395,ts1,2,61,UWBF1,1
exp2,01,0,95.07241250030671,ts1,3,62,UWBF1,1
exp2,01,0,110.15192851343005,ts1,4,63,UWBF1,1
exp2,01,0,74.06849028159874,ts1,5,64,UWBF1,1
exp2,00,1,1041.842727437786,ts1,1,65,UWBF1,2
exp2,00,1,1210.712638650747,ts1,2,66,UWBF1,2
exp2,00,1,1007.8720409190145,ts1,3,67,UWBF1,2
exp2,00,1,875.1456244837754,ts1,4,68,UWBF1,2
exp2,00,1,555.6272896768999,ts1,5,69,UWBF1,2
exp2,00,1,976.8868560164535,ts1,1,70,UWBF1,3
exp2,00,1,887.7250481418645,ts1,2,71,UWBF1,3
exp2,00,1,1126.1923027860635,ts1,3,72,UWBF1,3
exp2,00,1,823.7404352275935,ts1,4,73,UWBF1,3
exp2,00,1,848.1676437094159,ts1,5,74,UWBF1,3
exp2,00,1,912.3425708665555,ts2,1,75,UWBF1,1
exp2,00,1,1158.9591246617938,ts2,2,76,UWBF1,1
exp2,00,1,1187.185115526674,ts2,3,77,UWBF1,1
exp2,00,1,872.081194173041,ts2,4,78,UWBF1,1
exp2,00,1,1094.4144842662163,ts2,5,79,UWBF1,1
exp2,01,0,61.57890893473917,ts2,1,80,UWBF1,2
exp2,01,0,111.1014002948929,ts2,2,81,UWBF1,2
exp2,01,0,98.52211264569392,ts2,3,82,UWBF1,2
exp2,01,0,66.8477847326441,ts2,4,83,UWBF1,2
exp2,01,0,70.18526139668674,ts2,5,84,UWBF1,2
exp2,01,0,131.54159524542678,ts2,1,85,UWBF1,3
exp2,01,0,68.32720536210294,ts2,2,86,UWBF1,3
exp2,01,0,67.30653701720811,ts2,3,87,UWBF1,3
exp2,01,0,101.01245568159644,ts2,4,88,UWBF1,3
exp2,01,0,50.694061785284546,ts2,5,89,UWBF1,3
exp2,01,0,118.67355607769659,ts1,1,90,UWBF2,1
exp2,01,0,67.57715777652339,ts1,2,91,UWBF2,1
exp2,01,0,126.267080043233,ts1,3,92,UWBF2,1
exp2,01,0,126.28710378992946,ts1,4,93,UWBF2,1
exp2,01,0,111.95608317841399,ts1,5,94,UWBF2,1
exp2,00,1,894.4217520800046,ts1,1,95,UWBF2,2
exp2,00,1,939.9824381701965,ts1,2,96,UWBF2,2
exp2,00,1,1265.337179947949,ts1,3,97,UWBF2,2
exp2,00,1,886.8635344435463,ts1,4,98,UWBF2,2
exp2,00,1,902.3690147619945,ts1,5,99,UWBF2,2
exp2,00,1,1352.7087602774461,ts1,1,100,UWBF2,3
exp2,00,1,983.2666170758457,ts1,2,101,UWBF2,3
exp2,00,1,834.8307866942124,ts1,3,102,UWBF2,3
exp2,00,1,875.2061003063021,ts1,4,103,UWBF2,3
exp2,00,1,1320.8587040521638,ts1,5,104,UWBF2,3
exp2,00,1,860.977967865575,ts2,1,105,UWBF2,1
exp2,00,1,930.7632554110271,ts2,2,106,UWBF2,1
exp2,00,1,825.2614283193172,ts2,3,107,UWBF2,1
exp2,00,1,404.9409321749548,ts2,4,108,UWBF2,1
exp2,00,1,1437.8965739348714,ts2,5,109,UWBF2,1
exp2,01,0,134.57831047481537,ts2,1,110,UWBF2,2
exp2,01,0,67.54032683276694,ts2,2,111,UWBF2,2
exp2,01,0,123.22572710729611,ts2,3,112,UWBF2,2
exp2,01,0,102.7748564936704,ts2,4,113,UWBF2,2
exp2,01,0,135.02976234307886,ts2,5,114,UWBF2,2
exp2,01,0,111.28821730481755,ts2,1,115,UWBF2,3
exp2,01,0,107.7549626485671,ts2,2,116,UWBF2,3
exp2,01,0,81.36128445732763,ts2,3,117,UWBF2,3
exp2,01,0,92.02168814117272,ts2,4,118,UWBF2,3
exp2,01,0,94.76895834376327,ts2,5,119,UWBF2,3
