experiment_id,input,intended_output,output_id,replicate,sample_id,strain,time
exp2,00,1,ts2,3,107,UWBF2,1
exp2,00,1,ts2,4,108,UWBF2,1
exp2,00,1,ts2,5,109,UWBF2,1
exp2,01,0,ts2,1,110,UWBF2,2
exp2,01,0,ts2,2,111,UWBF2,2
exp2,01,0,ts2,3,112,UWBF2,2
exp2,01,0,ts2,4,113,UWBF2,2
exp2,01,0,ts2,5,114,UWBF2,2
exp2,01,0,ts2,1,115,UWBF2,3
exp2,01,0,ts2,2,116,UWBF2,3
exp2,01,0,ts2,3,117,UWBF2,3
exp2,01,0,ts2,4,118,UWBF2,3
exp2,01,0,ts2,5,119,UWBF2,3
